Datetime, temp_LNS_1, temp_LNS_2, temp_LNS_3, temp_LNS_4, temp_sensor, hum_sensor, temp_outside, hum_outside, temp_upper, hum_upper, temp_intake, hum_intake, temp_outflow, hum_outflow, V_CO2_below, V_CO2_lower,V_CO2_upper, V_CO2_above, V_CO2_sensor, CO2_Tank, ORP_LNS_1, DO_LNS_1, pH_LNS_1, EC_LNS_1, Water_Dose_1, ORP_LNS_2, DO_LNS_2, pH_LNS_2, EC_LNS_2, Water_Dose_2, pH_Dose_1, pH_Dose_2, EC_Dose_1, EC_Dose_2, ORP_LNS_3, DO_LNS_3, pH_LNS_3, EC_LNS_3, Water_Dose_3, ORP_LNS_4, DO_LNS_4, pH_LNS_4, EC_LNS_4, Water_Dose_4, pH_Dose_3, pH_Dose_4, EC_Dose_3, EC_Dose_4, Person_1, Person_2, Person_3, Door_Open
2022-08-02 00:00:03,23.61,23.67,21.01,20.82,17.67,69.19,23.54,48.83,18.71,63.87,18.70,66.18,nan,nan,760.00,720.00,780.00,744.00,772.00,0,543.70,128.65,5.81,1140.00,0,527.00,0.27,5.80,1144.00,0,0,0,0,0,232.30,7.15,5.81,1102.00,0,563.20,0.43,5.83,1101.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:00:13,23.67,23.67,21.01,20.82,17.65,69.28,23.53,48.78,18.73,63.82,18.66,66.20,nan,nan,740.00,744.00,796.00,740.00,776.00,0,543.90,129.15,5.82,1141.00,0,527.00,0.27,5.80,1144.00,0,0,0,0,0,232.40,7.16,5.82,1102.00,0,563.30,0.44,5.83,1101.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:00:23,23.61,23.67,21.07,20.82,17.65,69.32,23.54,48.80,18.72,63.93,18.67,66.27,nan,nan,728.00,744.00,796.00,740.00,776.00,0,543.90,129.15,5.82,1140.00,0,527.00,0.27,5.80,1144.00,0,0,0,0,0,232.40,7.16,5.82,1102.00,0,563.40,0.44,5.83,1101.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:00:33,23.67,23.67,21.01,20.82,17.65,69.27,23.55,48.83,18.72,63.94,18.68,66.29,nan,nan,740.00,736.00,800.00,744.00,776.00,0,543.80,128.53,5.81,1140.00,0,527.00,0.27,5.80,1144.00,0,0,0,0,0,232.20,7.16,5.81,1102.00,0,563.90,0.44,5.83,1101.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:00:43,23.61,23.61,21.01,20.76,17.67,69.21,23.55,48.80,18.73,63.85,18.67,66.28,nan,nan,732.00,740.00,808.00,744.00,776.00,0,543.90,128.90,5.81,1140.00,0,527.00,0.27,5.80,1144.00,0,0,0,0,0,232.40,7.16,5.82,1102.00,0,563.50,0.43,5.83,1101.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:00:53,23.61,23.67,21.01,20.82,17.65,69.23,23.54,48.79,18.75,63.85,18.68,66.26,nan,nan,740.00,740.00,800.00,744.00,776.00,0,544.00,129.15,5.82,1140.00,0,527.00,0.27,5.80,1143.00,0,0,0,0,0,232.50,7.16,5.81,1102.00,0,563.40,0.44,5.83,1101.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:01:03,23.61,23.61,21.01,20.76,17.67,69.21,23.51,48.78,18.72,63.84,18.63,66.25,nan,nan,756.00,740.00,800.00,748.00,768.00,0,543.70,128.53,5.82,1140.00,0,527.10,0.27,5.80,1143.00,0,0,0,0,0,232.50,7.15,5.82,1102.00,5,563.40,0.43,5.83,1101.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:01:13,23.61,23.61,21.01,20.82,17.67,69.12,23.54,48.79,18.75,63.84,18.66,66.22,nan,nan,740.00,736.00,796.00,744.00,784.00,0,543.90,128.78,5.81,1140.00,0,526.90,0.27,5.80,1144.00,0,0,0,0,0,232.30,7.15,5.82,1102.00,0,563.60,0.44,5.83,1100.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:01:23,23.61,23.54,20.95,20.88,17.68,69.33,23.54,48.82,18.73,63.84,18.67,66.24,nan,nan,736.00,740.00,800.00,748.00,776.00,0,544.00,128.90,5.82,1140.00,0,526.80,0.27,5.80,1143.00,0,0,0,0,0,232.50,7.14,5.81,1102.00,0,563.50,0.44,5.83,1101.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:01:33,23.61,23.61,21.01,20.82,17.67,69.10,23.53,48.80,18.72,63.89,18.64,66.31,nan,nan,736.00,736.00,800.00,748.00,776.00,0,543.90,128.65,5.81,1139.00,0,527.00,0.27,5.80,1142.00,0,0,0,0,0,232.50,7.16,5.81,1102.00,0,563.60,0.44,5.83,1101.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:01:43,23.61,23.61,21.01,20.88,17.65,69.16,23.54,48.78,18.73,63.81,18.64,66.29,nan,nan,712.00,736.00,796.00,812.00,772.00,0,543.80,128.90,5.82,1139.00,0,527.20,0.27,5.80,1143.00,0,0,0,0,0,232.60,7.16,5.81,1102.00,0,563.40,0.43,5.83,1101.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:01:53,23.61,23.54,21.01,20.88,17.67,69.11,23.57,48.81,18.73,63.83,18.67,66.22,nan,nan,700.00,740.00,800.00,748.00,780.00,0,543.90,128.90,5.82,1139.00,0,527.00,0.27,5.80,1143.00,0,0,0,0,0,232.50,7.16,5.81,1102.00,0,563.50,0.43,5.82,1101.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:02:03,23.61,23.61,21.01,20.76,17.65,69.07,23.54,48.83,18.71,63.79,18.66,66.26,nan,nan,740.00,736.00,800.00,748.00,780.00,0,544.00,128.65,5.81,1139.00,0,527.20,0.27,5.80,1143.00,0,0,0,0,0,232.50,7.16,5.82,1101.00,0,563.60,0.44,5.83,1100.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:02:13,23.61,23.61,21.01,20.88,17.67,69.18,23.54,48.79,18.72,63.85,18.63,66.25,nan,nan,732.00,744.00,800.00,764.00,820.00,0,544.00,128.90,5.82,1139.00,0,527.10,0.27,5.80,1143.00,0,0,0,0,0,232.40,7.15,5.82,1102.00,0,563.50,0.44,5.83,1101.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:02:23,23.61,23.54,21.01,20.82,17.65,69.16,23.51,48.81,18.76,63.82,18.67,66.22,nan,nan,740.00,736.00,800.00,744.00,804.00,0,544.00,128.78,5.81,1139.00,0,526.90,0.27,5.80,1142.00,0,0,0,0,0,232.40,7.16,5.82,1101.00,0,563.40,0.44,5.83,1100.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:02:33,23.55,23.54,21.01,20.82,17.65,69.21,23.54,48.80,18.73,63.81,18.66,66.23,nan,nan,736.00,736.00,800.00,744.00,780.00,0,544.00,128.65,5.82,1139.00,0,526.80,0.27,5.80,1142.00,0,0,0,0,0,232.30,7.15,5.82,1101.00,0,563.00,0.44,5.83,1100.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:02:43,23.61,23.54,21.01,20.88,17.65,69.43,23.54,48.83,18.75,63.88,18.68,66.22,nan,nan,736.00,736.00,796.00,744.00,780.00,0,544.00,128.90,5.82,1139.00,0,526.80,0.27,5.80,1142.00,0,0,0,0,0,232.30,7.15,5.81,1101.00,0,563.90,0.44,5.83,1100.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:02:53,23.55,23.54,20.95,20.82,17.67,69.49,23.54,48.81,18.72,63.99,18.68,66.22,nan,nan,736.00,740.00,800.00,744.00,784.00,0,544.00,128.40,5.81,1139.00,0,526.80,0.27,5.79,1142.00,0,0,0,0,0,232.50,7.16,5.81,1101.00,0,563.40,0.44,5.83,1100.00,0,0,0,0,0,0,0,0,0
2022-08-02 00:03:03,23.61,23.54,20.95,20.76,17.67,69.37,23.54,48.80,18.72,64.01,18.71,66.32,nan,nan,736.00,736.00,800.00,740.00,780.00,0,544.00,128.78,5.82,1139.00,0,527.00,0.27,5.80,1142.00,0,0,0,0,0,232.40,7.17,5.81,1101.00,0,563.50,0.44,5.83,1100.00,0,0,0,0,0,0,0,0,0
