Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,3/30/2022,08:04:45,736,30.4,63.4
2,3/30/2022,08:04:50,737,30.4,63.3
3,3/30/2022,08:04:55,749,30.4,63.3
4,3/30/2022,08:05:00,748,30.4,63.2
5,3/30/2022,08:05:05,748,30.4,63.1
6,3/30/2022,08:05:10,747,30.3,63.0
7,3/30/2022,08:05:15,747,30.3,62.9
8,3/30/2022,08:05:20,747,30.3,62.9
9,3/30/2022,08:05:25,747,30.3,62.8
10,3/30/2022,08:05:30,746,30.3,62.6
11,3/30/2022,08:05:35,746,30.3,62.6
12,3/30/2022,08:05:40,746,30.3,62.5
13,3/30/2022,08:05:45,745,30.3,62.5
14,3/30/2022,08:05:50,745,30.3,62.4
15,3/30/2022,08:05:55,744,30.3,62.4
16,3/30/2022,08:06:00,743,30.3,62.4
17,3/30/2022,08:06:05,742,30.4,62.4
18,3/30/2022,08:06:10,742,30.4,62.4
19,3/30/2022,08:06:15,741,30.4,62.4
20,3/30/2022,08:06:20,740,30.4,62.4
21,3/30/2022,08:06:25,740,30.4,62.5
22,3/30/2022,08:06:30,739,30.4,62.5
23,3/30/2022,08:06:35,739,30.4,62.5
24,3/30/2022,08:06:40,738,30.4,62.6
25,3/30/2022,08:06:45,726,30.4,62.6
26,3/30/2022,08:06:50,727,30.4,62.7
27,3/30/2022,08:06:55,727,30.4,62.8
28,3/30/2022,08:07:00,727,30.4,62.8
29,3/30/2022,08:07:05,727,30.4,62.8
30,3/30/2022,08:07:10,728,30.4,62.9
31,3/30/2022,08:07:15,729,30.4,63.0
32,3/30/2022,08:07:20,740,30.4,63.0
33,3/30/2022,08:07:25,740,30.4,63.0
34,3/30/2022,08:07:30,743,30.4,63.1
35,3/30/2022,08:07:35,740,30.4,63.2
36,3/30/2022,08:07:40,741,30.4,63.2
37,3/30/2022,08:07:45,741,30.4,63.3
38,3/30/2022,08:07:50,740,30.4,63.3
39,3/30/2022,08:07:55,740,30.4,63.4
40,3/30/2022,08:08:00,739,30.4,63.4
41,3/30/2022,08:08:05,737,30.4,63.4
42,3/30/2022,08:08:10,737,30.5,63.5
43,3/30/2022,08:08:15,736,30.5,63.5
44,3/30/2022,08:08:20,734,30.5,63.6
45,3/30/2022,08:08:25,733,30.4,63.6
46,3/30/2022,08:08:30,733,30.5,63.6
47,3/30/2022,08:08:35,733,30.5,63.6
48,3/30/2022,08:08:40,734,30.5,63.5
49,3/30/2022,08:08:45,734,30.5,63.4
50,3/30/2022,08:08:50,734,30.5,63.4
51,3/30/2022,08:08:55,734,30.5,63.3
52,3/30/2022,08:09:00,734,30.5,63.2
53,3/30/2022,08:09:05,735,30.5,63.1
54,3/30/2022,08:09:10,735,30.5,63.0
55,3/30/2022,08:09:15,736,30.5,62.9
56,3/30/2022,08:09:20,737,30.5,62.8
57,3/30/2022,08:09:25,737,30.5,62.7
58,3/30/2022,08:09:30,737,30.5,62.6
59,3/30/2022,08:09:35,737,30.5,62.5
60,3/30/2022,08:09:40,738,30.5,62.4
61,3/30/2022,08:09:45,739,30.5,62.4
62,3/30/2022,08:09:50,740,30.5,62.3
63,3/30/2022,08:09:55,741,30.5,62.3
64,3/30/2022,08:10:00,742,30.5,62.2
65,3/30/2022,08:10:05,752,30.5,62.2
66,3/30/2022,08:10:10,753,30.5,62.2
67,3/30/2022,08:10:15,753,30.5,62.2
68,3/30/2022,08:10:20,757,30.5,62.3
69,3/30/2022,08:10:25,768,30.5,62.3
70,3/30/2022,08:10:30,766,30.5,62.4
71,3/30/2022,08:10:35,766,30.5,62.4
72,3/30/2022,08:10:40,766,30.5,62.5
73,3/30/2022,08:10:45,766,30.5,62.6
74,3/30/2022,08:10:50,766,30.5,62.7
75,3/30/2022,08:10:55,766,30.5,62.8
76,3/30/2022,08:11:00,765,30.4,62.8
77,3/30/2022,08:11:05,764,30.4,62.9
78,3/30/2022,08:11:10,764,30.4,63.0
79,3/30/2022,08:11:15,764,30.4,63.1
80,3/30/2022,08:11:20,763,30.4,63.2
81,3/30/2022,08:11:25,762,30.4,63.2
82,3/30/2022,08:11:30,762,30.4,63.3
83,3/30/2022,08:11:35,762,30.4,63.4
84,3/30/2022,08:11:40,762,30.4,63.5
85,3/30/2022,08:11:45,763,30.4,63.5
86,3/30/2022,08:11:50,763,30.4,63.6
87,3/30/2022,08:11:55,763,30.4,63.5
88,3/30/2022,08:12:00,760,30.4,63.4
89,3/30/2022,08:12:05,758,30.4,63.4
