Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,4/21/2022,07:34:05,719,24.1,64.3
2,4/21/2022,07:34:10,719,24.1,64.3
3,4/21/2022,07:34:15,719,24.1,64.3
4,4/21/2022,07:34:20,719,24.1,64.2
5,4/21/2022,07:34:25,719,24.1,64.2
6,4/21/2022,07:34:30,719,24.1,64.2
7,4/21/2022,07:34:35,720,24.1,64.2
8,4/21/2022,07:34:40,720,24.1,64.2
9,4/21/2022,07:34:45,721,24.1,64.2
10,4/21/2022,07:34:50,721,24.1,64.2
11,4/21/2022,07:34:55,721,24.1,64.2
12,4/21/2022,07:35:00,722,24.1,64.2
13,4/21/2022,07:35:05,723,24.1,64.2
14,4/21/2022,07:35:10,724,24.1,64.2
15,4/21/2022,07:35:15,724,24.1,64.2
16,4/21/2022,07:35:20,736,24.1,64.2
17,4/21/2022,07:35:25,736,24.1,64.3
18,4/21/2022,07:35:30,736,24.1,64.3
19,4/21/2022,07:35:35,735,24.1,64.3
20,4/21/2022,07:35:40,735,24.1,64.4
21,4/21/2022,07:35:45,735,24.1,64.4
22,4/21/2022,07:35:50,735,24.1,64.4
23,4/21/2022,07:35:55,735,24.1,64.5
24,4/21/2022,07:36:00,736,24.1,64.5
25,4/21/2022,07:36:05,736,24.1,64.6
26,4/21/2022,07:36:10,737,24.1,64.6
27,4/21/2022,07:36:15,737,24.1,64.6
28,4/21/2022,07:36:20,737,24.1,64.7
29,4/21/2022,07:36:25,737,24.1,64.7
30,4/21/2022,07:36:30,738,24.1,64.7
31,4/21/2022,07:36:35,738,24.1,64.8
32,4/21/2022,07:36:40,737,24.1,64.9
33,4/21/2022,07:36:45,737,24.1,65.0
34,4/21/2022,07:36:50,737,24.1,65.1
35,4/21/2022,07:36:55,738,24.1,65.1
36,4/21/2022,07:37:00,739,24.1,65.1
37,4/21/2022,07:37:05,738,24.1,65.2
38,4/21/2022,07:37:10,738,24.1,65.2
39,4/21/2022,07:37:15,739,24.1,65.2
40,4/21/2022,07:37:20,739,24.1,65.3
41,4/21/2022,07:37:25,739,24.1,65.3
42,4/21/2022,07:37:30,739,24.1,65.3
43,4/21/2022,07:37:35,739,24.1,65.3
44,4/21/2022,07:37:40,739,24.1,65.4
45,4/21/2022,07:37:45,739,24.1,65.4
46,4/21/2022,07:37:50,740,24.1,65.5
47,4/21/2022,07:37:55,740,24.1,65.5
48,4/21/2022,07:38:00,741,24.1,65.5
49,4/21/2022,07:38:05,741,24.1,65.5
50,4/21/2022,07:38:10,741,24.1,65.5
51,4/21/2022,07:38:15,741,24.1,65.5
52,4/21/2022,07:38:20,741,24.1,65.5
53,4/21/2022,07:38:25,741,24.1,65.5
54,4/21/2022,07:38:30,741,24.1,65.6
55,4/21/2022,07:38:35,740,24.1,65.6
56,4/21/2022,07:38:40,740,24.1,65.6
57,4/21/2022,07:38:45,739,24.1,65.6
58,4/21/2022,07:38:50,737,24.1,65.6
59,4/21/2022,07:38:55,736,24.1,65.6
60,4/21/2022,07:39:00,737,24.1,65.7
61,4/21/2022,07:39:05,736,24.1,65.7
62,4/21/2022,07:39:10,737,24.1,65.7
63,4/21/2022,07:39:15,737,24.1,65.7
64,4/21/2022,07:39:20,738,24.1,65.7
65,4/21/2022,07:39:25,738,24.1,65.7
66,4/21/2022,07:39:30,738,24.1,65.7
67,4/21/2022,07:39:35,738,24.1,65.6
68,4/21/2022,07:39:40,739,24.1,65.6
69,4/21/2022,07:39:45,740,24.1,65.6
70,4/21/2022,07:39:50,742,24.0,65.5
71,4/21/2022,07:39:55,742,24.1,65.5
72,4/21/2022,07:40:00,741,24.1,65.4
73,4/21/2022,07:40:05,741,24.1,65.4
74,4/21/2022,07:40:10,741,24.1,65.4
75,4/21/2022,07:40:15,740,24.1,65.3
76,4/21/2022,07:40:20,740,24.1,65.3
77,4/21/2022,07:40:25,739,24.1,65.2
78,4/21/2022,07:40:30,737,24.1,65.2
79,4/21/2022,07:40:35,737,24.1,65.1
80,4/21/2022,07:40:40,736,24.1,65.1
81,4/21/2022,07:40:45,736,24.1,65.1
