Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,5/6/2022,22:34:05,768,18.9,66.6
2,5/6/2022,22:34:10,768,18.8,66.6
3,5/6/2022,22:34:15,768,18.8,66.7
4,5/6/2022,22:34:20,768,18.8,66.7
5,5/6/2022,22:34:25,769,18.8,66.8
6,5/6/2022,22:34:30,769,18.8,66.8
7,5/6/2022,22:34:35,769,18.8,66.9
8,5/6/2022,22:34:40,770,18.8,66.8
9,5/6/2022,22:34:45,770,18.8,66.9
10,5/6/2022,22:34:50,770,18.8,67.0
11,5/6/2022,22:34:55,770,18.8,67.0
12,5/6/2022,22:35:00,771,18.8,67.2
13,5/6/2022,22:35:05,771,18.8,67.2
14,5/6/2022,22:35:10,771,18.8,67.2
15,5/6/2022,22:35:15,771,18.8,67.3
16,5/6/2022,22:35:20,769,18.8,67.2
17,5/6/2022,22:35:25,769,18.8,67.3
18,5/6/2022,22:35:30,768,18.8,67.3
19,5/6/2022,22:35:35,768,18.8,67.3
20,5/6/2022,22:35:40,767,18.8,67.3
21,5/6/2022,22:35:45,767,18.8,67.3
22,5/6/2022,22:35:50,768,18.8,67.3
23,5/6/2022,22:35:55,770,18.8,67.3
24,5/6/2022,22:36:00,771,18.8,67.3
25,5/6/2022,22:36:05,771,18.8,67.3
26,5/6/2022,22:36:10,772,18.8,67.3
27,5/6/2022,22:36:15,773,18.8,67.3
28,5/6/2022,22:36:20,773,18.8,67.2
29,5/6/2022,22:36:25,775,18.8,67.2
30,5/6/2022,22:36:30,776,18.8,67.2
31,5/6/2022,22:36:35,776,18.8,67.2
32,5/6/2022,22:36:40,777,18.8,67.1
33,5/6/2022,22:36:45,777,18.8,67.1
34,5/6/2022,22:36:50,775,18.8,67.1
35,5/6/2022,22:36:55,773,18.9,67.0
36,5/6/2022,22:37:00,772,18.9,66.9
37,5/6/2022,22:37:05,772,18.9,66.9
38,5/6/2022,22:37:10,771,18.9,66.8
39,5/6/2022,22:37:15,770,18.9,66.8
40,5/6/2022,22:37:20,770,18.9,66.7
41,5/6/2022,22:37:25,770,18.9,66.6
42,5/6/2022,22:37:30,770,18.9,66.6
43,5/6/2022,22:37:35,769,18.9,66.5
44,5/6/2022,22:37:40,769,18.9,66.5
45,5/6/2022,22:37:45,768,18.9,66.5
46,5/6/2022,22:37:50,768,18.9,66.4
47,5/6/2022,22:37:55,768,18.9,66.3
48,5/6/2022,22:38:00,768,18.9,66.3
49,5/6/2022,22:38:05,768,18.9,66.2
50,5/6/2022,22:38:10,769,18.9,66.2
51,5/6/2022,22:38:15,769,18.9,66.2
52,5/6/2022,22:38:20,770,18.9,66.2
53,5/6/2022,22:38:25,771,18.9,66.1
54,5/6/2022,22:38:30,772,18.9,66.1
55,5/6/2022,22:38:35,772,18.9,66.1
56,5/6/2022,22:38:40,772,18.9,66.1
57,5/6/2022,22:38:45,772,18.9,66.1
58,5/6/2022,22:38:50,771,18.9,66.0
59,5/6/2022,22:38:55,769,18.9,66.0
60,5/6/2022,22:39:00,768,18.9,66.1
61,5/6/2022,22:39:05,767,18.9,66.2
62,5/6/2022,22:39:10,768,18.9,66.2
63,5/6/2022,22:39:15,767,18.9,66.2
64,5/6/2022,22:39:20,767,18.9,66.2
65,5/6/2022,22:39:25,767,18.9,66.3
66,5/6/2022,22:39:30,767,18.9,66.3
67,5/6/2022,22:39:35,767,18.9,66.2
68,5/6/2022,22:39:40,766,18.9,66.3
69,5/6/2022,22:39:45,766,18.9,66.3
70,5/6/2022,22:39:50,765,18.9,66.4
71,5/6/2022,22:39:55,765,18.9,66.5
72,5/6/2022,22:40:00,765,18.9,66.6
73,5/6/2022,22:40:05,765,18.9,66.6
74,5/6/2022,22:40:10,764,18.9,66.6
75,5/6/2022,22:40:15,764,18.9,66.7
76,5/6/2022,22:40:20,764,18.9,66.7
77,5/6/2022,22:40:25,764,18.8,66.6
