Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,8/4/2022,21:07:40,778,27.1,58.0
2,8/4/2022,21:07:45,779,27.1,57.8
3,8/4/2022,21:07:50,779,27.0,57.8
4,8/4/2022,21:07:55,779,27.0,57.7
5,8/4/2022,21:08:00,779,27.0,57.6
6,8/4/2022,21:08:05,780,27.0,57.6
7,8/4/2022,21:08:10,779,26.9,57.5
8,8/4/2022,21:08:15,779,26.9,57.5
9,8/4/2022,21:08:20,780,26.9,57.4
10,8/4/2022,21:08:25,780,26.8,57.3
11,8/4/2022,21:08:30,781,26.8,57.2
12,8/4/2022,21:08:35,781,26.8,57.2
13,8/4/2022,21:08:40,782,26.8,57.1
14,8/4/2022,21:08:45,783,26.7,57.0
15,8/4/2022,21:08:50,784,26.7,57.0
16,8/4/2022,21:08:55,784,26.7,56.9
17,8/4/2022,21:09:00,785,26.7,56.9
18,8/4/2022,21:09:05,787,26.6,56.9
19,8/4/2022,21:09:10,789,26.6,56.8
20,8/4/2022,21:09:15,788,26.6,56.8
21,8/4/2022,21:09:20,788,26.6,56.8
22,8/4/2022,21:09:25,788,26.5,56.7
23,8/4/2022,21:09:30,789,26.5,56.6
24,8/4/2022,21:09:35,789,26.5,56.6
25,8/4/2022,21:09:40,788,26.5,56.5
26,8/4/2022,21:09:45,787,26.5,56.5
27,8/4/2022,21:09:50,787,26.4,56.4
28,8/4/2022,21:09:55,786,26.4,56.4
29,8/4/2022,21:10:00,785,26.4,56.3
30,8/4/2022,21:10:05,785,26.4,56.3
31,8/4/2022,21:10:10,784,26.4,56.2
32,8/4/2022,21:10:15,785,26.3,56.2
33,8/4/2022,21:10:20,785,26.3,56.1
34,8/4/2022,21:10:25,785,26.3,56.1
35,8/4/2022,21:10:30,784,26.3,56.1
36,8/4/2022,21:10:35,784,26.3,56.0
37,8/4/2022,21:10:40,785,26.2,56.0
38,8/4/2022,21:10:45,788,26.2,56.0
39,8/4/2022,21:10:50,789,26.2,55.9
40,8/4/2022,21:10:55,789,26.2,55.9
41,8/4/2022,21:11:00,789,26.2,55.8
42,8/4/2022,21:11:05,790,26.2,55.8
43,8/4/2022,21:11:10,791,26.1,55.7
44,8/4/2022,21:11:15,793,26.1,55.6
45,8/4/2022,21:11:20,792,26.1,55.6
46,8/4/2022,21:11:25,792,26.1,55.5
47,8/4/2022,21:11:30,793,26.0,55.5
48,8/4/2022,21:11:35,794,26.0,55.4
49,8/4/2022,21:11:40,795,26.0,55.4
50,8/4/2022,21:11:45,794,26.0,55.3
51,8/4/2022,21:11:50,794,26.0,55.3
52,8/4/2022,21:11:55,794,26.0,55.2
53,8/4/2022,21:12:00,793,25.9,55.2
54,8/4/2022,21:12:05,794,25.9,55.1
55,8/4/2022,21:12:10,793,25.9,55.1
56,8/4/2022,21:12:15,792,25.9,55.1
57,8/4/2022,21:12:20,792,25.9,55.1
58,8/4/2022,21:12:25,792,25.8,55.0
59,8/4/2022,21:12:30,793,25.8,55.0
60,8/4/2022,21:12:35,793,25.8,55.0
61,8/4/2022,21:12:40,793,25.8,54.9
62,8/4/2022,21:12:45,794,25.7,54.9
63,8/4/2022,21:12:50,795,25.7,54.9
64,8/4/2022,21:12:55,795,25.7,54.8
65,8/4/2022,21:13:00,796,25.6,54.8
66,8/4/2022,21:13:05,795,25.6,54.8
67,8/4/2022,21:13:10,796,25.6,54.7
68,8/4/2022,21:13:15,796,25.6,54.7
69,8/4/2022,21:13:20,796,25.6,54.7
70,8/4/2022,21:13:25,795,25.5,54.7
71,8/4/2022,21:13:30,796,25.5,54.6
72,8/4/2022,21:13:35,796,25.5,54.7
73,8/4/2022,21:13:40,797,25.5,54.6
74,8/4/2022,21:13:45,798,25.4,54.6
75,8/4/2022,21:13:50,798,25.4,54.5
76,8/4/2022,21:13:55,798,25.4,54.5
77,8/4/2022,21:14:00,796,25.4,54.5
78,8/4/2022,21:14:05,795,25.3,54.5
79,8/4/2022,21:14:10,794,25.3,54.5
80,8/4/2022,21:14:15,794,25.3,54.5
81,8/4/2022,21:14:20,793,25.3,54.5
82,8/4/2022,21:14:25,792,25.2,54.5
83,8/4/2022,21:14:30,792,25.2,54.5
84,8/4/2022,21:14:35,794,25.2,54.5
85,8/4/2022,21:14:40,794,25.2,54.4
86,8/4/2022,21:14:45,794,25.1,54.4
87,8/4/2022,21:14:50,794,25.1,54.4
88,8/4/2022,21:14:55,794,25.1,54.4
89,8/4/2022,21:15:00,795,25.1,54.4
90,8/4/2022,21:15:05,796,25.1,54.4
91,8/4/2022,21:15:10,796,25.0,54.4
92,8/4/2022,21:15:15,796,25.0,54.4
93,8/4/2022,21:15:20,796,25.0,54.4
94,8/4/2022,21:15:25,796,25.0,54.3
95,8/4/2022,21:15:30,797,25.0,54.3
96,8/4/2022,21:15:35,797,25.0,54.3
97,8/4/2022,21:15:40,797,25.0,54.3
98,8/4/2022,21:15:45,797,24.9,54.3
99,8/4/2022,21:15:50,797,24.9,54.2
100,8/4/2022,21:15:55,797,24.9,54.2
101,8/4/2022,21:16:00,798,24.9,54.2
102,8/4/2022,21:16:05,799,24.8,54.2
103,8/4/2022,21:16:10,801,24.9,54.2
104,8/4/2022,21:16:15,801,24.8,54.1
105,8/4/2022,21:16:20,801,24.8,54.1
106,8/4/2022,21:16:25,801,24.8,54.1
107,8/4/2022,21:16:30,800,24.8,54.0
108,8/4/2022,21:16:35,800,24.7,54.0
109,8/4/2022,21:16:40,800,24.7,54.0
110,8/4/2022,21:16:45,800,24.7,54.0
111,8/4/2022,21:16:50,799,24.7,53.9
112,8/4/2022,21:16:55,799,24.7,53.9
113,8/4/2022,21:17:00,798,24.7,53.9
114,8/4/2022,21:17:05,797,24.6,53.8
115,8/4/2022,21:17:10,797,24.6,53.8
116,8/4/2022,21:17:15,797,24.6,53.8
117,8/4/2022,21:17:20,796,24.6,53.8
118,8/4/2022,21:17:25,797,24.6,53.8
119,8/4/2022,21:17:30,798,24.5,53.7
120,8/4/2022,21:17:35,800,24.5,53.7
121,8/4/2022,21:17:40,802,24.5,53.7
122,8/4/2022,21:17:45,804,24.5,53.7
123,8/4/2022,21:17:50,835,24.4,53.6
124,8/4/2022,21:17:55,835,24.4,53.6
125,8/4/2022,21:18:00,836,24.4,53.6
126,8/4/2022,21:18:05,836,24.4,53.6
127,8/4/2022,21:18:10,836,24.4,53.6
128,8/4/2022,21:18:15,836,24.4,53.6
129,8/4/2022,21:18:20,836,24.3,53.6
130,8/4/2022,21:18:25,836,24.3,53.6
131,8/4/2022,21:18:30,838,24.3,53.5
132,8/4/2022,21:18:35,842,24.2,53.6
133,8/4/2022,21:18:40,846,24.2,53.6
134,8/4/2022,21:18:45,871,24.2,53.5
135,8/4/2022,21:18:50,870,24.2,53.5
136,8/4/2022,21:18:55,869,24.2,53.5
137,8/4/2022,21:19:00,869,24.1,53.5
138,8/4/2022,21:19:05,869,24.1,53.4
139,8/4/2022,21:19:10,868,24.1,53.5
140,8/4/2022,21:19:15,868,24.1,53.5
141,8/4/2022,21:19:20,867,24.1,53.5
142,8/4/2022,21:19:25,867,24.0,53.5
143,8/4/2022,21:19:30,867,24.0,53.5
144,8/4/2022,21:19:35,867,24.0,53.5
145,8/4/2022,21:19:40,867,24.0,53.5
146,8/4/2022,21:19:45,867,23.9,53.5
147,8/4/2022,21:19:50,867,23.9,53.5
148,8/4/2022,21:19:55,868,23.9,53.5
149,8/4/2022,21:20:00,868,23.9,53.5
150,8/4/2022,21:20:05,869,23.9,53.5
151,8/4/2022,21:20:10,872,23.9,53.5
152,8/4/2022,21:20:15,872,23.9,53.5
153,8/4/2022,21:20:20,872,23.8,53.5
154,8/4/2022,21:20:25,873,23.8,53.5
155,8/4/2022,21:20:30,873,23.8,53.4
156,8/4/2022,21:20:35,874,23.8,53.4
157,8/4/2022,21:20:40,875,23.8,53.4
158,8/4/2022,21:20:45,875,23.8,53.4
159,8/4/2022,21:20:50,875,23.7,53.4
160,8/4/2022,21:20:55,877,23.7,53.4
161,8/4/2022,21:21:00,877,23.7,53.3
162,8/4/2022,21:21:05,878,23.7,53.4
163,8/4/2022,21:21:10,879,23.7,53.3
164,8/4/2022,21:21:15,879,23.7,53.3
165,8/4/2022,21:21:20,879,23.7,53.3
166,8/4/2022,21:21:25,880,23.6,53.3
167,8/4/2022,21:21:30,881,23.6,53.3
168,8/4/2022,21:21:35,881,23.6,53.2
169,8/4/2022,21:21:40,883,23.6,53.2
170,8/4/2022,21:21:45,883,23.6,53.2
171,8/4/2022,21:21:50,884,23.5,53.3
172,8/4/2022,21:21:55,883,23.5,53.2
173,8/4/2022,21:22:00,883,23.5,53.2
174,8/4/2022,21:22:05,882,23.5,53.2
175,8/4/2022,21:22:10,882,23.5,53.2
176,8/4/2022,21:22:15,881,23.4,53.2
177,8/4/2022,21:22:20,881,23.4,53.2
178,8/4/2022,21:22:25,881,23.4,53.2
