Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,7/20/2022,06:07:40,749,28.1,62.0
2,7/20/2022,06:07:45,749,28.1,62.1
3,7/20/2022,06:07:50,748,28.1,62.0
4,7/20/2022,06:07:55,748,28.1,62.0
5,7/20/2022,06:08:00,745,28.1,62.0
6,7/20/2022,06:08:05,745,28.1,62.0
7,7/20/2022,06:08:10,745,28.1,62.0
8,7/20/2022,06:08:15,745,28.1,62.1
9,7/20/2022,06:08:20,746,28.1,62.1
10,7/20/2022,06:08:25,746,28.1,62.1
11,7/20/2022,06:08:30,746,28.1,62.1
12,7/20/2022,06:08:35,746,28.1,62.1
13,7/20/2022,06:08:40,747,28.1,62.1
14,7/20/2022,06:08:45,748,28.1,62.1
15,7/20/2022,06:08:50,750,28.1,62.1
16,7/20/2022,06:08:55,750,28.1,62.1
17,7/20/2022,06:09:00,751,28.0,62.2
18,7/20/2022,06:09:05,752,28.1,62.2
19,7/20/2022,06:09:10,751,28.0,62.2
20,7/20/2022,06:09:15,750,28.0,62.2
21,7/20/2022,06:09:20,750,28.0,62.2
22,7/20/2022,06:09:25,749,28.0,62.2
23,7/20/2022,06:09:30,748,28.0,62.2
24,7/20/2022,06:09:35,749,28.0,62.2
25,7/20/2022,06:09:40,749,28.0,62.2
26,7/20/2022,06:09:45,749,28.0,62.2
27,7/20/2022,06:09:50,749,28.0,62.2
28,7/20/2022,06:09:55,749,28.0,62.2
29,7/20/2022,06:10:00,749,28.1,62.2
30,7/20/2022,06:10:05,749,28.0,62.2
31,7/20/2022,06:10:10,749,28.0,62.2
32,7/20/2022,06:10:15,748,28.0,62.2
33,7/20/2022,06:10:20,749,28.0,62.2
34,7/20/2022,06:10:25,749,28.0,62.2
35,7/20/2022,06:10:30,749,28.0,62.2
36,7/20/2022,06:10:35,749,28.0,62.2
37,7/20/2022,06:10:40,749,28.0,62.2
38,7/20/2022,06:10:45,749,28.0,62.2
39,7/20/2022,06:10:50,748,28.0,62.2
40,7/20/2022,06:10:55,747,28.0,62.2
41,7/20/2022,06:11:00,747,28.0,62.2
42,7/20/2022,06:11:05,746,28.0,62.2
43,7/20/2022,06:11:10,746,28.0,62.2
44,7/20/2022,06:11:15,745,28.0,62.2
45,7/20/2022,06:11:20,745,28.0,62.2
46,7/20/2022,06:11:25,744,28.0,62.2
47,7/20/2022,06:11:30,744,28.0,62.2
48,7/20/2022,06:11:35,744,28.0,62.2
49,7/20/2022,06:11:40,744,28.0,62.2
50,7/20/2022,06:11:45,744,28.0,62.2
51,7/20/2022,06:11:50,744,28.0,62.2
52,7/20/2022,06:11:55,744,28.0,62.2
53,7/20/2022,06:12:00,744,28.0,62.2
54,7/20/2022,06:12:05,744,28.0,62.2
55,7/20/2022,06:12:10,744,28.0,62.1
56,7/20/2022,06:12:15,743,28.0,62.1
57,7/20/2022,06:12:20,744,28.0,62.1
58,7/20/2022,06:12:25,743,28.0,62.1
59,7/20/2022,06:12:30,743,28.0,62.1
60,7/20/2022,06:12:35,743,28.0,62.1
61,7/20/2022,06:12:40,742,28.0,62.1
62,7/20/2022,06:12:45,742,28.0,62.1
63,7/20/2022,06:12:50,742,28.0,62.1
64,7/20/2022,06:12:55,741,28.0,62.1
65,7/20/2022,06:13:00,741,28.0,62.1
66,7/20/2022,06:13:05,741,28.0,62.1
67,7/20/2022,06:13:10,740,28.0,62.1
68,7/20/2022,06:13:15,740,28.0,62.1
69,7/20/2022,06:13:20,740,28.0,62.1
70,7/20/2022,06:13:25,740,28.0,62.1
71,7/20/2022,06:13:30,739,28.0,62.1
72,7/20/2022,06:13:35,738,28.0,62.1
73,7/20/2022,06:13:40,738,28.0,62.1
74,7/20/2022,06:13:45,737,28.0,62.2
75,7/20/2022,06:13:50,737,28.0,62.2
76,7/20/2022,06:13:55,737,28.0,62.2
77,7/20/2022,06:14:00,738,28.0,62.2
78,7/20/2022,06:14:05,739,28.0,62.3
79,7/20/2022,06:14:10,739,28.0,62.3
80,7/20/2022,06:14:15,740,28.0,62.3
81,7/20/2022,06:14:20,740,28.0,62.3
82,7/20/2022,06:14:25,741,28.0,62.3
83,7/20/2022,06:14:30,741,28.0,62.4
84,7/20/2022,06:14:35,741,28.0,62.4
85,7/20/2022,06:14:40,741,28.0,62.4
86,7/20/2022,06:14:45,741,28.0,62.4
87,7/20/2022,06:14:50,740,28.0,62.4
88,7/20/2022,06:14:55,740,28.0,62.4
89,7/20/2022,06:15:00,739,28.0,62.4
90,7/20/2022,06:15:05,740,28.0,62.4
91,7/20/2022,06:15:10,738,28.0,62.4
92,7/20/2022,06:15:15,738,28.0,62.4
93,7/20/2022,06:15:20,738,28.0,62.4
94,7/20/2022,06:15:25,739,28.0,62.4
95,7/20/2022,06:15:30,739,28.0,62.4
96,7/20/2022,06:15:35,738,28.0,62.4
97,7/20/2022,06:15:40,737,28.0,62.4
98,7/20/2022,06:15:45,736,28.0,62.4
99,7/20/2022,06:15:50,737,28.0,62.4
100,7/20/2022,06:15:55,738,28.0,62.4
101,7/20/2022,06:16:00,738,28.0,62.4
102,7/20/2022,06:16:05,737,28.0,62.5
103,7/20/2022,06:16:10,738,28.0,62.5
104,7/20/2022,06:16:15,738,28.0,62.5
105,7/20/2022,06:16:20,739,28.0,62.5
106,7/20/2022,06:16:25,738,28.0,62.4
107,7/20/2022,06:16:30,738,28.0,62.4
108,7/20/2022,06:16:35,737,28.0,62.5
109,7/20/2022,06:16:40,737,28.0,62.4
110,7/20/2022,06:16:45,736,28.0,62.4
111,7/20/2022,06:16:50,736,28.0,62.4
112,7/20/2022,06:16:55,738,28.0,62.4
113,7/20/2022,06:17:00,739,28.0,62.4
114,7/20/2022,06:17:05,740,28.0,62.4
115,7/20/2022,06:17:10,746,28.0,62.4
116,7/20/2022,06:17:15,745,28.0,62.4
117,7/20/2022,06:17:20,747,28.0,62.4
118,7/20/2022,06:17:25,748,28.0,62.4
119,7/20/2022,06:17:30,749,28.0,62.4
120,7/20/2022,06:17:35,750,28.0,62.4
121,7/20/2022,06:17:40,751,28.0,62.4
122,7/20/2022,06:17:45,752,28.0,62.4
123,7/20/2022,06:17:50,752,28.0,62.4
124,7/20/2022,06:17:55,753,28.0,62.3
125,7/20/2022,06:18:00,754,28.0,62.3
126,7/20/2022,06:18:05,755,28.0,62.3
127,7/20/2022,06:18:10,755,28.0,62.3
128,7/20/2022,06:18:15,756,28.0,62.3
129,7/20/2022,06:18:20,756,28.0,62.3
130,7/20/2022,06:18:25,757,28.0,62.3
131,7/20/2022,06:18:30,756,28.0,62.3
132,7/20/2022,06:18:35,757,28.0,62.2
133,7/20/2022,06:18:40,756,28.0,62.2
134,7/20/2022,06:18:45,757,28.0,62.2
135,7/20/2022,06:18:50,757,28.0,62.2
136,7/20/2022,06:18:55,757,28.0,62.2
137,7/20/2022,06:19:00,757,28.0,62.2
138,7/20/2022,06:19:05,756,28.1,62.2
139,7/20/2022,06:19:10,756,28.0,62.2
140,7/20/2022,06:19:15,758,28.0,62.2
141,7/20/2022,06:19:20,760,28.0,62.2
142,7/20/2022,06:19:25,761,28.0,62.1
143,7/20/2022,06:19:30,763,28.0,62.1
144,7/20/2022,06:19:35,765,28.0,62.1
145,7/20/2022,06:19:40,766,28.0,62.1
146,7/20/2022,06:19:45,767,28.0,62.1
147,7/20/2022,06:19:50,768,28.0,62.2
148,7/20/2022,06:19:55,769,28.0,62.2
149,7/20/2022,06:20:00,769,28.0,62.3
150,7/20/2022,06:20:05,769,28.0,62.3
151,7/20/2022,06:20:10,769,28.0,62.3
152,7/20/2022,06:20:15,770,28.0,62.3
153,7/20/2022,06:20:20,771,28.0,62.3
154,7/20/2022,06:20:25,771,28.0,62.3
155,7/20/2022,06:20:30,772,28.0,62.3
156,7/20/2022,06:20:35,773,28.0,62.3
157,7/20/2022,06:20:40,775,28.0,62.4
158,7/20/2022,06:20:45,775,28.0,62.4
159,7/20/2022,06:20:50,775,28.0,62.4
160,7/20/2022,06:20:55,775,28.0,62.4
161,7/20/2022,06:21:00,775,28.0,62.4
162,7/20/2022,06:21:05,775,28.0,62.4
163,7/20/2022,06:21:10,775,28.0,62.5
164,7/20/2022,06:21:15,775,28.0,62.5
165,7/20/2022,06:21:20,776,28.0,62.5
166,7/20/2022,06:21:25,776,28.0,62.5
167,7/20/2022,06:21:30,776,28.0,62.5
168,7/20/2022,06:21:35,777,28.0,62.5
169,7/20/2022,06:21:40,778,28.0,62.5
170,7/20/2022,06:21:45,778,28.0,62.5
171,7/20/2022,06:21:50,778,28.0,62.5
172,7/20/2022,06:21:55,777,28.0,62.5
173,7/20/2022,06:22:00,777,28.0,62.5
174,7/20/2022,06:22:05,776,28.0,62.5
175,7/20/2022,06:22:10,776,28.0,62.5
176,7/20/2022,06:22:15,776,28.0,62.5
177,7/20/2022,06:22:20,776,28.0,62.5
178,7/20/2022,06:22:25,776,28.0,62.5
179,7/20/2022,06:22:30,776,28.0,62.5
180,7/20/2022,06:22:35,776,28.0,62.5
181,7/20/2022,06:22:40,777,28.0,62.5
182,7/20/2022,06:22:45,777,28.0,62.5
183,7/20/2022,06:22:50,778,28.0,62.5
184,7/20/2022,06:22:55,776,28.0,62.5
185,7/20/2022,06:23:00,776,28.0,62.5
186,7/20/2022,06:23:05,776,28.0,62.5
187,7/20/2022,06:23:10,776,28.0,62.5
188,7/20/2022,06:23:15,775,28.0,62.5
189,7/20/2022,06:23:20,775,28.0,62.5
190,7/20/2022,06:23:25,775,28.0,62.5
191,7/20/2022,06:23:30,776,28.0,62.4
192,7/20/2022,06:23:35,775,28.0,62.5
193,7/20/2022,06:23:40,775,28.0,62.4
194,7/20/2022,06:23:45,774,28.0,62.4
195,7/20/2022,06:23:50,773,28.0,62.4
196,7/20/2022,06:23:55,772,28.0,62.4
197,7/20/2022,06:24:00,772,28.0,62.4
198,7/20/2022,06:24:05,772,28.0,62.4
199,7/20/2022,06:24:10,766,28.0,62.4
200,7/20/2022,06:24:15,766,28.0,62.4
201,7/20/2022,06:24:20,766,28.0,62.4
202,7/20/2022,06:24:25,766,28.0,62.4
203,7/20/2022,06:24:30,766,28.0,62.4
204,7/20/2022,06:24:35,768,28.0,62.3
205,7/20/2022,06:24:40,769,28.0,62.3
206,7/20/2022,06:24:45,770,28.0,62.3
207,7/20/2022,06:24:50,771,28.0,62.3
208,7/20/2022,06:24:55,772,28.0,62.3
209,7/20/2022,06:25:00,772,28.0,62.3
210,7/20/2022,06:25:05,771,28.0,62.3
211,7/20/2022,06:25:10,771,28.0,62.2
212,7/20/2022,06:25:15,771,28.0,62.2
213,7/20/2022,06:25:20,771,28.0,62.2
214,7/20/2022,06:25:25,771,28.0,62.2
215,7/20/2022,06:25:30,770,28.0,62.2
216,7/20/2022,06:25:35,771,28.0,62.2
217,7/20/2022,06:25:40,772,28.0,62.2
218,7/20/2022,06:25:45,772,28.0,62.2
219,7/20/2022,06:25:50,773,28.0,62.2
220,7/20/2022,06:25:55,773,28.0,62.2
221,7/20/2022,06:26:00,773,28.0,62.2
222,7/20/2022,06:26:05,773,28.0,62.2
223,7/20/2022,06:26:10,775,28.0,62.2
224,7/20/2022,06:26:15,775,28.0,62.3
225,7/20/2022,06:26:20,775,28.0,62.3
226,7/20/2022,06:26:25,775,28.0,62.3
227,7/20/2022,06:26:30,774,28.0,62.4
228,7/20/2022,06:26:35,774,28.0,62.4
229,7/20/2022,06:26:40,774,28.0,62.4
230,7/20/2022,06:26:45,774,28.0,62.4
231,7/20/2022,06:26:50,773,28.0,62.4
232,7/20/2022,06:26:55,774,28.0,62.4
233,7/20/2022,06:27:00,773,28.0,62.4
234,7/20/2022,06:27:05,773,28.0,62.4
235,7/20/2022,06:27:10,773,28.0,62.4
236,7/20/2022,06:27:15,773,28.0,62.4
237,7/20/2022,06:27:20,772,28.0,62.5
238,7/20/2022,06:27:25,772,28.0,62.5
239,7/20/2022,06:27:30,772,28.0,62.5
240,7/20/2022,06:27:35,773,28.0,62.5
241,7/20/2022,06:27:40,773,27.9,62.5
242,7/20/2022,06:27:45,773,27.9,62.5
243,7/20/2022,06:27:50,773,27.9,62.5
244,7/20/2022,06:27:55,773,27.9,62.5
245,7/20/2022,06:28:00,773,27.9,62.5
246,7/20/2022,06:28:05,773,27.9,62.5
247,7/20/2022,06:28:10,772,27.9,62.5
248,7/20/2022,06:28:15,772,27.9,62.5
249,7/20/2022,06:28:20,773,27.9,62.5
250,7/20/2022,06:28:25,773,27.9,62.5
251,7/20/2022,06:28:30,773,27.9,62.5
252,7/20/2022,06:28:35,773,27.9,62.5
253,7/20/2022,06:28:40,773,27.9,62.5
254,7/20/2022,06:28:45,773,27.9,62.5
255,7/20/2022,06:28:50,773,27.9,62.5
256,7/20/2022,06:28:55,772,28.0,62.5
257,7/20/2022,06:29:00,773,27.9,62.5
258,7/20/2022,06:29:05,772,27.9,62.5
259,7/20/2022,06:29:10,772,27.9,62.5
260,7/20/2022,06:29:15,771,27.9,62.5
261,7/20/2022,06:29:20,771,27.9,62.5
262,7/20/2022,06:29:25,772,27.9,62.5
263,7/20/2022,06:29:30,772,27.9,62.5
264,7/20/2022,06:29:35,773,28.0,62.5
265,7/20/2022,06:29:40,774,28.0,62.5
266,7/20/2022,06:29:45,774,28.0,62.5
267,7/20/2022,06:29:50,774,27.9,62.5
268,7/20/2022,06:29:55,775,28.0,62.4
269,7/20/2022,06:30:00,775,28.0,62.4
270,7/20/2022,06:30:05,775,28.0,62.4
271,7/20/2022,06:30:10,775,28.0,62.4
272,7/20/2022,06:30:15,774,28.0,62.4
273,7/20/2022,06:30:20,774,28.0,62.4
274,7/20/2022,06:30:25,774,28.0,62.4
275,7/20/2022,06:30:30,774,28.0,62.4
276,7/20/2022,06:30:35,773,28.0,62.4
277,7/20/2022,06:30:40,773,28.0,62.4
278,7/20/2022,06:30:45,774,28.0,62.3
279,7/20/2022,06:30:50,774,28.0,62.3
280,7/20/2022,06:30:55,774,28.0,62.3
281,7/20/2022,06:31:00,774,28.0,62.3
282,7/20/2022,06:31:05,774,28.0,62.3
283,7/20/2022,06:31:10,773,28.0,62.3
284,7/20/2022,06:31:15,772,28.0,62.3
285,7/20/2022,06:31:20,770,28.0,62.3
286,7/20/2022,06:31:25,763,28.0,62.3
287,7/20/2022,06:31:30,759,28.0,62.3
288,7/20/2022,06:31:35,759,28.0,62.3
289,7/20/2022,06:31:40,759,28.0,62.3
290,7/20/2022,06:31:45,759,28.0,62.3
291,7/20/2022,06:31:50,761,28.0,62.3
292,7/20/2022,06:31:55,762,28.0,62.3
293,7/20/2022,06:32:00,763,28.0,62.3
294,7/20/2022,06:32:05,765,28.0,62.3
295,7/20/2022,06:32:10,766,28.0,62.3
296,7/20/2022,06:32:15,767,28.0,62.3
297,7/20/2022,06:32:20,767,28.0,62.3
298,7/20/2022,06:32:25,767,28.0,62.3
