Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,9/6/2022,18:45:35,747,25.5,62.2
2,9/6/2022,18:45:40,747,25.4,62.2
3,9/6/2022,18:45:45,747,25.5,62.2
4,9/6/2022,18:45:50,746,25.5,62.2
5,9/6/2022,18:45:55,746,25.4,62.3
6,9/6/2022,18:46:00,746,25.4,62.3
7,9/6/2022,18:46:05,746,25.4,62.3
8,9/6/2022,18:46:10,745,25.4,62.3
9,9/6/2022,18:46:15,745,25.4,62.3
10,9/6/2022,18:46:20,745,25.4,62.3
11,9/6/2022,18:46:25,746,25.4,62.3
12,9/6/2022,18:46:30,746,25.4,62.3
13,9/6/2022,18:46:35,746,25.4,62.4
14,9/6/2022,18:46:40,758,25.4,62.4
15,9/6/2022,18:46:45,757,25.4,62.4
16,9/6/2022,18:46:50,757,25.4,62.4
17,9/6/2022,18:46:55,757,25.4,62.4
18,9/6/2022,18:47:00,756,25.4,62.4
19,9/6/2022,18:47:05,756,25.4,62.4
20,9/6/2022,18:47:10,757,25.4,62.4
21,9/6/2022,18:47:15,756,25.4,62.5
22,9/6/2022,18:47:20,756,25.4,62.5
23,9/6/2022,18:47:25,757,25.4,62.5
24,9/6/2022,18:47:30,757,25.4,62.4
25,9/6/2022,18:47:35,757,25.4,62.4
26,9/6/2022,18:47:40,758,25.4,62.4
27,9/6/2022,18:47:45,758,25.4,62.4
28,9/6/2022,18:47:50,760,25.4,62.4
29,9/6/2022,18:47:55,761,25.4,62.4
30,9/6/2022,18:48:00,761,25.4,62.4
31,9/6/2022,18:48:05,762,25.4,62.4
32,9/6/2022,18:48:10,761,25.4,62.4
33,9/6/2022,18:48:15,762,25.4,62.3
34,9/6/2022,18:48:20,761,25.4,62.3
35,9/6/2022,18:48:25,761,25.4,62.3
36,9/6/2022,18:48:30,760,25.4,62.3
37,9/6/2022,18:48:35,760,25.4,62.3
38,9/6/2022,18:48:40,761,25.5,62.3
39,9/6/2022,18:48:45,762,25.5,62.3
40,9/6/2022,18:48:50,762,25.5,62.2
41,9/6/2022,18:48:55,762,25.5,62.2
42,9/6/2022,18:49:00,762,25.5,62.2
43,9/6/2022,18:49:05,761,25.5,62.2
44,9/6/2022,18:49:10,760,25.5,62.2
45,9/6/2022,18:49:15,759,25.5,62.2
46,9/6/2022,18:49:20,758,25.5,62.2
47,9/6/2022,18:49:25,757,25.5,62.1
48,9/6/2022,18:49:30,757,25.5,62.2
49,9/6/2022,18:49:35,756,25.5,62.2
50,9/6/2022,18:49:40,756,25.5,62.2
51,9/6/2022,18:49:45,756,25.5,62.1
52,9/6/2022,18:49:50,756,25.5,62.1
53,9/6/2022,18:49:55,756,25.5,62.1
54,9/6/2022,18:50:00,756,25.5,62.2
55,9/6/2022,18:50:05,756,25.5,62.2
56,9/6/2022,18:50:10,756,25.5,62.2
57,9/6/2022,18:50:15,756,25.5,62.2
58,9/6/2022,18:50:20,756,25.5,62.2
59,9/6/2022,18:50:25,755,25.5,62.2
60,9/6/2022,18:50:30,755,25.5,62.2
61,9/6/2022,18:50:35,754,25.5,62.2
62,9/6/2022,18:50:40,754,25.4,62.1
63,9/6/2022,18:50:45,754,25.4,62.2
64,9/6/2022,18:50:50,753,25.4,62.2
65,9/6/2022,18:50:55,753,25.4,62.3
66,9/6/2022,18:51:00,752,25.4,62.3
67,9/6/2022,18:51:05,752,25.4,62.3
68,9/6/2022,18:51:10,753,25.4,62.3
69,9/6/2022,18:51:15,754,25.4,62.3
70,9/6/2022,18:51:20,755,25.4,62.3
71,9/6/2022,18:51:25,756,25.4,62.3
72,9/6/2022,18:51:30,757,25.4,62.3
73,9/6/2022,18:51:35,757,25.4,62.4
74,9/6/2022,18:51:40,758,25.4,62.4
75,9/6/2022,18:51:45,759,25.4,62.4
76,9/6/2022,18:51:50,759,25.4,62.4
77,9/6/2022,18:51:55,759,25.4,62.4
78,9/6/2022,18:52:00,760,25.4,62.4
79,9/6/2022,18:52:05,760,25.4,62.5
80,9/6/2022,18:52:10,759,25.4,62.5
81,9/6/2022,18:52:15,758,25.4,62.5
82,9/6/2022,18:52:20,758,25.4,62.4
83,9/6/2022,18:52:25,757,25.4,62.4
84,9/6/2022,18:52:30,757,25.4,62.3
85,9/6/2022,18:52:35,756,25.4,62.3
86,9/6/2022,18:52:40,756,25.4,62.3
87,9/6/2022,18:52:45,756,25.4,62.3
88,9/6/2022,18:52:50,756,25.4,62.3
89,9/6/2022,18:52:55,755,25.4,62.2
90,9/6/2022,18:53:00,755,25.4,62.3
91,9/6/2022,18:53:05,756,25.4,62.3
92,9/6/2022,18:53:10,756,25.4,62.3
93,9/6/2022,18:53:15,755,25.4,62.3
94,9/6/2022,18:53:20,755,25.5,62.2
95,9/6/2022,18:53:25,754,25.5,62.2
96,9/6/2022,18:53:30,754,25.5,62.3
97,9/6/2022,18:53:35,753,25.5,62.3
98,9/6/2022,18:53:40,753,25.5,62.2
99,9/6/2022,18:53:45,753,25.5,62.2
100,9/6/2022,18:53:50,753,25.5,62.2
101,9/6/2022,18:53:55,752,25.5,62.2
102,9/6/2022,18:54:00,750,25.5,62.1
103,9/6/2022,18:54:05,750,25.5,62.1
104,9/6/2022,18:54:10,750,25.5,62.2
105,9/6/2022,18:54:15,750,25.5,62.1
106,9/6/2022,18:54:20,750,25.5,62.1
107,9/6/2022,18:54:25,750,25.5,62.1
108,9/6/2022,18:54:30,750,25.5,62.1
109,9/6/2022,18:54:35,750,25.5,62.1
110,9/6/2022,18:54:40,750,25.5,62.1
111,9/6/2022,18:54:45,751,25.5,62.1
112,9/6/2022,18:54:50,751,25.5,62.1
113,9/6/2022,18:54:55,751,25.5,62.1
114,9/6/2022,18:55:00,752,25.5,62.1
115,9/6/2022,18:55:05,752,25.5,62.1
116,9/6/2022,18:55:10,752,25.5,62.2
117,9/6/2022,18:55:15,752,25.4,62.1
118,9/6/2022,18:55:20,753,25.5,62.2
119,9/6/2022,18:55:25,752,25.4,62.2
120,9/6/2022,18:55:30,753,25.5,62.2
121,9/6/2022,18:55:35,752,25.4,62.2
122,9/6/2022,18:55:40,753,25.4,62.2
123,9/6/2022,18:55:45,754,25.4,62.2
124,9/6/2022,18:55:50,754,25.4,62.2
125,9/6/2022,18:55:55,755,25.4,62.2
126,9/6/2022,18:56:00,755,25.4,62.3
127,9/6/2022,18:56:05,755,25.4,62.3
128,9/6/2022,18:56:10,755,25.4,62.3
129,9/6/2022,18:56:15,754,25.4,62.3
130,9/6/2022,18:56:20,753,25.4,62.3
131,9/6/2022,18:56:25,753,25.4,62.3
132,9/6/2022,18:56:30,753,25.4,62.3
133,9/6/2022,18:56:35,752,25.4,62.4
134,9/6/2022,18:56:40,751,25.4,62.4
135,9/6/2022,18:56:45,751,25.4,62.4
136,9/6/2022,18:56:50,751,25.4,62.4
137,9/6/2022,18:56:55,751,25.4,62.3
138,9/6/2022,18:57:00,752,25.4,62.3
139,9/6/2022,18:57:05,752,25.4,62.4
140,9/6/2022,18:57:10,753,25.4,62.4
141,9/6/2022,18:57:15,754,25.4,62.4
142,9/6/2022,18:57:20,754,25.4,62.4
143,9/6/2022,18:57:25,754,25.4,62.4
144,9/6/2022,18:57:30,754,25.4,62.3
145,9/6/2022,18:57:35,753,25.4,62.3
146,9/6/2022,18:57:40,753,25.4,62.3
147,9/6/2022,18:57:45,752,25.4,62.3
148,9/6/2022,18:57:50,752,25.4,62.3
149,9/6/2022,18:57:55,751,25.4,62.3
150,9/6/2022,18:58:00,751,25.4,62.3
151,9/6/2022,18:58:05,751,25.4,62.3
152,9/6/2022,18:58:10,750,25.4,62.3
153,9/6/2022,18:58:15,749,25.5,62.2
154,9/6/2022,18:58:20,748,25.5,62.2
155,9/6/2022,18:58:25,747,25.5,62.2
156,9/6/2022,18:58:30,747,25.5,62.1
157,9/6/2022,18:58:35,746,25.5,62.1
158,9/6/2022,18:58:40,747,25.5,62.2
159,9/6/2022,18:58:45,747,25.5,62.1
160,9/6/2022,18:58:50,748,25.5,62.1
161,9/6/2022,18:58:55,748,25.5,62.0
162,9/6/2022,18:59:00,748,25.5,62.0
163,9/6/2022,18:59:05,748,25.5,62.0
164,9/6/2022,18:59:10,748,25.5,62.0
165,9/6/2022,18:59:15,748,25.5,62.0
166,9/6/2022,18:59:20,747,25.5,62.0
167,9/6/2022,18:59:25,747,25.5,62.0
168,9/6/2022,18:59:30,747,25.5,62.0
169,9/6/2022,18:59:35,747,25.5,62.0
170,9/6/2022,18:59:40,747,25.5,62.1
171,9/6/2022,18:59:45,748,25.5,62.0
172,9/6/2022,18:59:50,748,25.5,62.1
173,9/6/2022,18:59:55,748,25.5,62.1
174,9/6/2022,19:00:00,748,25.5,62.1
175,9/6/2022,19:00:05,748,25.5,62.1
176,9/6/2022,19:00:10,748,25.5,62.1
177,9/6/2022,19:00:15,747,25.4,62.1
178,9/6/2022,19:00:20,748,25.4,62.1
179,9/6/2022,19:00:25,749,25.4,62.1
180,9/6/2022,19:00:30,749,25.4,62.1
181,9/6/2022,19:00:35,750,25.4,62.1
182,9/6/2022,19:00:40,751,25.4,62.1
183,9/6/2022,19:00:45,757,25.4,62.1
