Datetime, temp_LNS_1, temp_LNS_2, temp_LNS_3, temp_LNS_4, temp_sensor, hum_sensor, temp_outside, hum_outside, temp_upper, hum_upper, temp_intake, hum_intake, temp_outflow, hum_outflow, V_CO2_below, V_CO2_lower,V_CO2_upper, V_CO2_above, V_CO2_sensor, CO2_Tank, ORP_LNS_1, DO_LNS_1, pH_LNS_1, EC_LNS_1, Water_Dose_1, ORP_LNS_2, DO_LNS_2, pH_LNS_2, EC_LNS_2, Water_Dose_2, pH_Dose_1, pH_Dose_2, EC_Dose_1, EC_Dose_2, ORP_LNS_3, DO_LNS_3, pH_LNS_3, EC_LNS_3, Water_Dose_3, ORP_LNS_4, DO_LNS_4, pH_LNS_4, EC_LNS_4, Water_Dose_4, pH_Dose_3, pH_Dose_4, EC_Dose_3, EC_Dose_4,
2022-03-03 13:00:16 , 29.43,29.13,22.16,21.82, 29.84,61.96,23.30,34.80,33.15,51.52,29.45,63.56,30.03,61.59, 860.00,812.00,816.00,760.00,832.00,0, 377.30,7.32,5.43,1443.00,0,408.70,1.54,5.15,1469.00,0,0,0,0,0, 240.70,7.36,4.97,1241.00,0,357.00,6.29,5.50,1221.00,0,0,0,0,0,
2022-03-03 13:00:26 , 29.43,29.13,22.22,21.89, 29.82,61.94,23.31,34.83,33.14,51.52,29.48,63.57,30.04,61.59, 860.00,816.00,820.00,760.00,832.00,0, 376.90,7.35,5.42,1443.00,0,408.50,1.52,5.15,1469.00,0,0,0,0,0, 240.70,7.38,4.97,1234.00,0,357.40,6.25,5.50,1221.00,0,0,0,0,0,
2022-03-03 13:00:36 , 29.37,29.13,22.22,21.82, 29.82,61.94,23.33,34.83,33.14,51.51,29.47,63.54,30.04,61.58, 864.00,808.00,816.00,760.00,836.00,0, 376.70,7.35,5.42,1443.00,0,408.90,1.53,5.14,1469.00,0,0,0,0,0, 240.60,7.52,4.97,1245.00,0,357.30,6.23,5.51,1221.00,0,0,0,0,0,
2022-03-03 13:00:45 , 29.43,29.13,22.29,21.82, 29.85,61.92,23.33,34.77,33.15,51.55,29.48,63.57,30.03,61.57, 860.00,812.00,816.00,764.00,836.00,0, 376.80,7.36,5.43,1443.00,0,408.80,1.53,5.15,1469.00,0,0,0,0,0, 240.90,7.45,4.97,1236.00,0,357.40,6.17,5.50,1220.00,0,0,0,0,0,
2022-03-03 13:00:55 , 29.43,29.13,22.29,21.82, 29.84,61.95,23.34,34.78,33.15,51.48,29.47,63.51,30.03,61.56, 852.00,812.00,820.00,756.00,832.00,0, 377.40,7.34,5.43,1443.00,0,408.60,1.54,5.14,1469.00,0,0,0,0,0, 240.70,7.40,4.96,1246.00,0,357.70,6.19,5.50,1219.00,0,0,0,0,0,
2022-03-03 13:01:05 , 29.43,29.13,22.22,21.82, 29.80,61.96,23.36,34.80,33.12,51.59,29.47,63.54,30.03,61.61, 860.00,820.00,824.00,748.00,824.00,0, 377.10,7.31,5.43,1443.00,0,408.60,1.52,5.14,1469.00,0,0,0,0,0, 240.80,7.48,4.97,1248.00,0,357.70,6.18,5.50,1218.00,0,0,0,0,0,
2022-03-03 13:01:15 , 29.37,29.13,22.22,21.82, 29.81,61.97,23.36,34.75,33.12,51.57,29.47,63.54,30.04,61.56, 860.00,808.00,812.00,760.00,836.00,0, 377.10,7.30,5.43,1443.00,0,408.70,1.52,5.14,1469.00,0,0,0,0,0, 240.80,7.46,4.97,1243.00,0,357.40,6.21,5.50,1219.00,0,0,0,0,0,
2022-03-03 13:01:25 , 29.50,29.13,22.29,21.76, 29.82,61.93,23.34,34.70,33.14,51.58,29.47,63.60,30.06,61.59, 860.00,808.00,808.00,760.00,840.00,0, 377.10,7.30,5.42,1443.00,0,408.80,1.51,5.14,1469.00,0,0,0,0,0, 240.90,7.49,4.97,1237.00,0,357.40,6.16,5.50,1219.00,0,0,0,0,0,
2022-03-03 13:01:35 , 29.37,29.13,22.29,21.82, 29.84,61.94,23.37,34.71,33.14,51.53,29.42,63.61,30.04,61.58, 856.00,816.00,812.00,760.00,832.00,0, 377.10,7.27,5.41,1443.00,0,408.40,1.53,5.15,1469.00,0,0,0,0,0, 241.00,7.64,4.97,1254.00,0,357.30,6.15,5.50,1218.00,0,0,0,0,0,
2022-03-03 13:01:45 , 29.43,29.13,22.29,21.82, 29.82,61.95,23.38,34.73,33.12,51.56,29.42,63.64,30.03,61.52, 864.00,828.00,812.00,760.00,836.00,0, 377.30,7.26,5.41,1443.00,0,408.60,1.54,5.15,1469.00,0,0,0,0,0, 240.90,7.44,4.97,1246.00,0,357.60,6.15,5.50,1219.00,0,0,0,0,0,
2022-03-03 13:01:55 , 29.37,29.19,22.29,21.89, 29.81,61.97,23.40,34.70,33.12,51.57,29.48,63.57,30.03,61.51, 860.00,800.00,816.00,756.00,832.00,0, 377.30,7.24,5.41,1443.00,0,408.90,1.55,5.14,1469.00,0,0,0,0,0, 240.90,7.45,4.97,1253.00,0,357.60,6.11,5.50,1219.00,0,0,0,0,0,
2022-03-03 13:02:05 , 29.43,29.13,22.35,21.89, 29.82,61.94,23.38,34.61,33.11,51.56,29.47,63.43,30.00,61.56, 860.00,808.00,812.00,760.00,832.00,0, 377.20,7.23,5.42,1443.00,0,408.90,1.54,5.14,1469.00,0,0,0,0,0, 240.80,7.68,4.97,1246.00,0,357.60,6.10,5.50,1220.00,0,0,0,0,0,
2022-03-03 13:02:15 , 29.43,29.13,22.35,21.95, 29.81,61.93,23.41,34.62,33.15,51.57,29.48,63.46,30.04,61.57, 860.00,812.00,812.00,760.00,832.00,0, 377.10,7.21,5.43,1443.00,0,408.90,1.54,5.15,1469.00,0,0,0,0,0, 240.90,7.55,4.97,1246.00,0,357.60,6.11,5.50,1219.00,0,0,0,0,0,
2022-03-03 13:02:24 , 29.43,29.13,22.29,21.95, 29.78,61.93,23.43,34.64,33.14,51.53,29.51,63.42,30.00,61.55, 860.00,812.00,812.00,760.00,832.00,0, 377.10,7.18,5.42,1443.00,0,408.80,1.55,5.14,1469.00,0,0,0,0,0, 240.90,7.48,4.97,1253.00,0,357.70,6.02,5.50,1219.00,0,0,0,0,0,
2022-03-03 13:02:34 , 29.43,29.13,22.29,21.95, 29.80,61.96,23.43,34.60,33.15,51.52,29.51,63.37,30.04,61.56, 860.00,808.00,812.00,760.00,832.00,0, 377.30,7.18,5.42,1443.00,0,408.70,1.54,5.15,1469.00,0,0,0,0,0, 240.80,7.43,4.96,1246.00,0,357.70,6.04,5.50,1220.00,0,0,0,0,0,
2022-03-03 13:02:44 , 29.37,29.13,22.29,22.01, 29.81,61.96,23.41,34.56,33.14,51.51,29.47,63.33,30.02,61.58, 860.00,808.00,812.00,772.00,832.00,0, 377.00,7.17,5.43,1443.00,0,408.60,1.55,5.14,1469.00,0,0,0,0,0, 240.60,7.42,4.96,1245.00,0,357.80,6.06,5.50,1220.00,0,0,0,0,0,
2022-03-03 13:02:54 , 29.43,29.13,22.35,22.01, 29.81,61.95,23.44,34.55,33.14,51.49,29.45,63.44,30.02,61.55, 860.00,812.00,824.00,764.00,832.00,0, 377.30,7.16,5.42,1443.00,0,408.90,1.55,5.15,1469.00,0,0,0,0,0, 240.90,7.68,4.97,1245.00,0,357.70,6.06,5.50,1221.00,0,0,0,0,0,
2022-03-03 13:03:04 , 29.43,29.13,22.29,21.95, 29.77,61.96,23.46,34.52,33.14,51.48,29.47,63.48,30.00,61.51, 856.00,824.00,808.00,760.00,828.00,0, 377.40,7.14,5.42,1443.00,0,408.90,1.54,5.14,1470.00,0,0,0,0,0, 240.80,7.89,4.97,1246.00,0,357.60,5.99,5.50,1221.00,0,0,0,0,0,
