Datetime, temp_LNS_1, temp_LNS_2, temp_LNS_3, temp_LNS_4, temp_sensor, hum_sensor, temp_outside, hum_outside, temp_upper, hum_upper, temp_intake, hum_intake, temp_outflow, hum_outflow, V_CO2_below, V_CO2_lower,V_CO2_upper, V_CO2_above, V_CO2_sensor, CO2_Tank, ORP_LNS_1, DO_LNS_1, pH_LNS_1, EC_LNS_1, Water_Dose_1, ORP_LNS_2, DO_LNS_2, pH_LNS_2, EC_LNS_2, Water_Dose_2, pH_Dose_1, pH_Dose_2, EC_Dose_1, EC_Dose_2, ORP_LNS_3, DO_LNS_3, pH_LNS_3, EC_LNS_3, Water_Dose_3, ORP_LNS_4, DO_LNS_4, pH_LNS_4, EC_LNS_4, Water_Dose_4, pH_Dose_3, pH_Dose_4, EC_Dose_3, EC_Dose_4, Person_1, Person_2, Person_3, Door_Open
2022-03-24 00:00:05,26.55,26.37,21.39,21.32,21.14,65.05,23.64,46.01,23.77,55.72,21.55,64.55,21.95,62.58,748.00,736.00,736.00,672.00,716.00,0,516.50,1.97,5.85,1198.00,0,484.60,14.89,6.15,1220.00,0,0,0.5,0,0,120.30,6.39,5.84,1158.00,0,493.70,1.01,5.85,1125.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:00:15,26.55,26.31,21.39,21.32,21.15,65.05,23.64,45.83,23.77,55.78,21.55,64.55,21.93,62.60,744.00,736.00,728.00,688.00,720.00,0,516.60,1.97,5.85,1198.00,0,484.30,14.90,6.15,1219.00,0,0,0.5,0,0,120.20,6.30,5.84,1144.00,0,493.40,1.00,5.85,1125.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:00:25,26.55,26.37,21.46,21.32,21.12,65.06,23.65,45.69,23.75,55.77,21.52,64.56,21.92,62.58,752.00,716.00,712.00,692.00,720.00,0,516.60,1.97,5.85,1198.00,0,484.20,14.98,6.15,1220.00,0,0,0.5,0,0,120.30,6.37,5.84,1144.00,0,493.50,1.00,5.84,1125.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:00:35,26.62,26.37,21.46,21.32,21.08,65.09,23.62,45.65,23.73,55.78,21.51,64.64,21.90,62.56,748.00,728.00,728.00,688.00,716.00,0,516.60,1.97,5.85,1198.00,0,484.30,15.07,6.15,1219.00,0,0,0.5,0,0,120.20,6.37,5.84,1136.00,0,493.30,1.00,5.85,1125.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:00:45,26.55,26.31,21.39,21.32,21.10,65.07,23.64,45.67,23.73,55.74,21.49,64.69,21.89,62.57,744.00,732.00,720.00,676.00,696.00,0,516.30,1.98,5.85,1198.00,0,484.30,14.99,6.16,1219.00,0,0,0.5,0,0,120.30,6.36,5.84,1136.00,0,493.20,1.01,5.85,1125.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:00:55,26.55,26.31,21.39,21.32,21.04,65.06,23.62,45.71,23.71,55.74,21.49,64.60,21.86,62.52,748.00,728.00,724.00,684.00,720.00,0,516.80,1.97,5.85,1198.00,0,484.30,15.06,6.15,1218.00,0,0,0.5,0,0,120.20,6.28,5.84,1160.00,0,493.20,1.01,5.85,1125.00,0,0,0.5,0,0,0,0,0,0
2022-03-24 00:01:05,26.55,26.31,21.39,21.32,21.06,65.11,23.62,45.75,23.73,55.75,21.45,64.62,21.86,62.54,744.00,712.00,716.00,688.00,728.00,0,516.40,1.97,5.85,1198.00,0,484.00,14.85,6.15,1219.00,0,0,0.5,0,0,120.30,6.27,5.84,1151.00,0,493.00,1.01,5.84,1126.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:01:16,26.55,26.24,21.39,21.32,21.04,65.12,23.61,45.79,23.67,55.72,21.42,64.66,21.85,62.53,744.00,736.00,728.00,696.00,704.00,0,516.30,1.97,5.85,1198.00,0,484.00,15.35,6.15,1219.00,0,0.5,0.5,0,0,120.50,6.20,5.84,1149.00,0,492.90,1.01,5.85,1126.00,0,0,0.5,0,0,0,0,0,0
2022-03-24 00:01:26,26.49,26.31,21.39,21.32,21.03,65.15,23.59,45.86,23.64,55.77,21.39,64.72,21.85,62.58,748.00,732.00,724.00,684.00,716.00,0,516.10,1.97,5.85,1198.00,0,483.70,15.08,6.15,1218.00,0,0,0.5,0,0,120.30,6.35,5.84,1143.00,0,493.60,1.01,5.83,1127.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:01:36,26.49,26.31,21.39,21.32,20.99,65.11,23.58,45.93,23.66,55.77,21.39,64.74,21.82,62.55,748.00,728.00,724.00,688.00,716.00,0,516.50,1.97,5.84,1197.00,0,483.90,14.91,6.15,1219.00,0,0,0.5,0,0,120.10,6.23,5.85,1138.00,0,493.70,1.01,5.82,1126.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:01:46,26.49,26.31,21.39,21.32,21.00,65.15,23.58,45.90,23.63,55.68,21.39,64.74,21.81,62.57,744.00,728.00,724.00,688.00,716.00,0,516.50,1.97,5.85,1197.00,0,483.90,15.07,6.15,1219.00,0,0,0.5,0,0,120.40,6.24,5.85,1132.00,0,493.80,1.01,5.83,1200.00,5,0,0,0,0,0,0,0,0
2022-03-24 00:01:56,26.49,26.31,21.39,21.32,20.94,65.20,23.59,45.89,23.62,55.74,21.37,64.70,21.78,62.58,764.00,720.00,736.00,692.00,728.00,0,516.30,1.97,5.85,1197.00,0,483.80,15.17,6.16,1218.00,0,0,0.5,0,0,120.50,6.34,5.85,1131.00,0,494.00,1.02,5.81,1193.00,5,0.5,0,0,0,0,0,0,0
2022-03-24 00:02:06,26.43,26.31,21.39,21.32,20.94,65.18,23.59,45.93,23.59,55.75,21.35,64.73,21.75,62.57,748.00,724.00,716.00,692.00,720.00,0,516.60,1.97,5.84,1197.00,0,483.50,14.86,6.15,1217.00,0,0,0.5,0,0,120.50,6.39,5.82,1140.00,0,494.10,1.02,5.82,1189.00,5,0,0,0,0,0,0,0,0
2022-03-24 00:02:16,26.49,26.31,21.39,21.32,20.93,65.20,23.58,45.89,23.62,55.77,21.38,64.69,21.77,62.60,752.00,716.00,720.00,676.00,704.00,0,516.60,1.97,5.84,1197.00,0,483.60,15.16,6.15,1218.00,0,0,0.5,0,0,121.30,6.42,5.81,1133.00,0,494.10,1.02,5.83,1190.00,5,0,0,0,0,0,0,0,0
2022-03-24 00:02:26,26.43,26.31,21.39,21.32,20.93,65.22,23.59,45.98,23.57,55.79,21.38,64.55,21.72,62.60,744.00,724.00,724.00,684.00,712.00,0,516.70,1.97,5.85,1197.00,0,483.20,15.26,6.16,1217.00,5,0.5,0.5,0,0,120.80,6.44,5.80,1131.00,0,494.00,1.02,5.82,1180.00,5,0,0,0,0,0,0,0,0
2022-03-24 00:02:36,26.43,26.24,21.39,21.32,20.92,65.26,23.59,45.97,23.57,55.78,21.46,64.47,21.71,62.67,744.00,728.00,720.00,688.00,712.00,0,516.30,1.97,5.85,1197.00,0,483.60,15.26,6.16,1217.00,0,0,0.5,0,0,120.70,6.42,5.81,1133.00,0,493.70,1.02,5.82,1133.00,5,0,0,0,0,0,0,0,0
2022-03-24 00:02:46,26.43,26.24,21.46,21.32,20.93,65.24,23.61,45.93,23.55,55.76,21.51,64.26,21.71,62.67,708.00,732.00,716.00,624.00,712.00,0,516.80,1.97,5.84,1197.00,0,483.50,15.17,6.16,1216.00,0,0,0.5,0,0,120.70,6.38,5.81,1130.00,0,493.70,1.01,5.83,1192.00,5,0,0,0,0,0,0,0,0
2022-03-24 00:02:56,26.49,26.24,21.39,21.32,20.93,65.27,23.59,46.02,23.55,55.79,21.51,64.21,21.68,62.65,740.00,728.00,724.00,672.00,704.00,0,516.60,1.96,5.83,1197.00,0,483.40,14.81,6.15,1216.00,0,0,0.5,0,0,120.50,6.39,5.82,1141.00,0,493.70,1.01,5.83,1192.00,5,0,0,0,0,0,0,0,0
2022-03-24 00:03:06,26.43,26.24,21.39,21.39,20.92,65.17,23.59,45.98,23.53,55.85,21.42,64.17,21.68,62.68,744.00,728.00,724.00,680.00,712.00,0,516.70,1.96,5.82,1197.00,0,483.50,14.98,6.15,1216.00,0,0,0.5,0,0,120.40,6.53,5.82,1131.00,0,493.50,1.01,5.83,1130.00,5,0,0,0,0,0,0,0,0
2022-03-24 00:03:16,26.37,26.24,21.39,21.32,20.90,65.20,23.59,46.01,23.50,55.88,21.39,64.32,21.66,62.69,716.00,716.00,716.00,688.00,712.00,0,517.00,1.96,5.83,1197.00,0,483.30,15.04,6.16,1216.00,0,0,0.5,0,0,120.70,6.42,5.82,1132.00,0,493.60,1.02,5.82,1149.00,5,0,0,0,0,0,0,0,0
2022-03-24 00:03:26,26.37,26.24,21.39,21.32,20.89,65.14,23.59,46.04,23.49,55.88,21.41,64.33,21.66,62.67,740.00,724.00,720.00,680.00,712.00,0,516.20,1.96,5.83,1197.00,0,483.40,14.80,6.15,1216.00,0,0,0.5,0,0,120.70,6.33,5.82,1129.00,0,493.40,1.02,5.82,1180.00,5,0,0,0,0,0,0,0,0
2022-03-24 00:03:36,26.43,26.18,21.39,21.26,20.89,65.14,23.58,46.04,23.47,55.86,21.38,64.39,21.65,62.68,744.00,728.00,724.00,676.00,720.00,0,516.60,1.96,5.82,1196.00,0,483.40,14.66,6.15,1216.00,0,0,0.5,0,0,120.70,6.45,5.83,1131.00,0,493.50,1.02,5.83,1187.00,5,0,0,0,0,0,0,0,0
2022-03-24 00:03:46,26.37,26.24,21.39,21.26,20.86,65.13,23.59,46.06,23.47,55.87,21.34,64.41,21.65,62.68,744.00,724.00,720.00,680.00,712.00,0,516.50,1.96,5.83,1197.00,0,483.40,14.78,6.16,1216.00,0,0,0.5,0,0,120.70,6.42,5.81,1126.00,0,493.40,1.02,5.82,1124.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:03:56,26.43,26.18,21.39,21.32,20.87,65.14,23.61,46.05,23.45,55.95,21.34,64.51,21.63,62.67,740.00,724.00,720.00,680.00,712.00,0,516.30,1.96,5.82,1196.00,0,483.20,14.99,6.16,1215.00,0,0,0.5,0,0,120.70,6.39,5.82,1159.00,0,493.30,1.02,5.82,1123.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:04:06,26.43,26.18,21.39,21.32,20.86,65.15,23.61,46.04,23.43,55.88,21.32,64.47,21.62,62.67,732.00,728.00,716.00,668.00,716.00,0,516.30,1.96,5.83,1196.00,0,483.10,14.96,6.15,1215.00,5,0,0.5,0,0,120.60,6.42,5.82,1150.00,0,493.50,1.02,5.82,1123.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:04:16,26.43,26.18,21.39,21.32,20.83,65.22,23.61,46.07,23.45,55.84,21.24,64.44,21.62,62.69,740.00,724.00,732.00,680.00,712.00,0,516.50,1.96,5.83,1196.00,0,483.00,14.87,6.15,1215.00,0,0,0.5,0,0,120.40,6.51,5.82,1127.00,0,493.30,1.02,5.82,1115.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:04:26,26.37,26.18,21.39,21.32,20.80,65.16,23.59,46.06,23.42,55.86,21.23,64.56,21.61,62.69,740.00,724.00,716.00,680.00,712.00,0,516.30,1.95,5.83,1196.00,0,483.20,15.07,6.16,1215.00,0,0,0.5,0,0,120.60,6.42,5.83,1127.00,0,493.20,1.01,5.82,1115.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:04:36,26.37,26.18,21.39,21.32,20.77,65.17,23.61,46.07,23.41,55.88,21.20,64.64,21.57,62.71,736.00,732.00,704.00,680.00,708.00,0,516.50,1.96,5.83,1196.00,0,483.00,15.22,6.16,1215.00,0,0,0.5,0,0,120.80,6.38,5.82,1169.00,0,493.00,1.01,5.81,1116.00,0,0,0,0,0,0,0,0,0
2022-03-24 00:04:46,26.37,26.18,21.39,21.32,20.79,65.17,23.62,46.10,23.36,55.88,21.18,64.66,21.55,62.67,740.00,708.00,716.00,680.00,716.00,0,516.20,1.95,5.83,1196.00,0,483.00,15.09,6.16,1214.00,0,0,0.5,0,0,120.80,6.42,5.82,1127.00,0,493.00,1.01,5.83,1123.00,0,0,0,0,0,0,0,0,0
